Idzawodnika;Nazwisko;Imie;Miasto
PL-0200564;Kolarski;Robert;Ostrów Wlkp.
PL-0200565;Michaœ;Robert;Poznañ
PL-0200566;NiedŸwiecki;Robert;Chodzie¿
PL-0200567;Kostrzewa;Robert;Poznañ
PL-0200568;Jankowski;Robert;Murowana Goœlin
PL-0200569;Dewicki;Robert;Murowana Goœlin
PL-0200570;Bisikiewicz;Robert;Strzelin
PL-0200571;Maciejewski;Robert;Strzelin
PL-0200572;Sieczka-Chroœcicki;Robert;Strzelin
PL-0200573;£awniczak;Robert;Skalmierzyce
PL-0200574;Misiek;Robert;Ostrów Wlkp.
PL-0200575;Kosmowski;Robert;Ostrów Wlkp.
PL-0200576;Koœcielny;Robert;Rad³ów
PL-0200577;Andrzejak;Robert;Ostrów Wlkp.
PL-0200578;Sztukowska;Robert;Ostrów Wlkp.
PL-0200579;Kasprzak;Robert;Ostrów Wlkp.
PL-0200580;£apeta;Robert;Racot
PL-0200581;Wurst;Robert;Racot
PL-0200582;Miko³ajczak;Robert;Koœcian
PL-0200583;Œwierczyñska;Robert;Krzywiñ
PL-0200584;Jankowiak;Robert;Koœcian
PL-0200585;Samulska;Robert;Koœcian
PL-0200586;Nowak;Robert;Racot
PL-0200587;Mandel;Robert;Racot
PL-0200588;Naskrêt;Robert;Koœcian
PL-0200589;PrzewoŸniak;Robert;Koœcian
PL-0200590;Ziemnioak;Robert;Koœcian
PL-0200591;Olesiñska;Robert;Koœcian
PL-0200592;Fr¹ckowiak;Robert;Koœcian
PL-0200593;Marszewska;Robert;Racot
PL-0200594;Koronowska;Robert;Racot
PL-0200595;Gano;Robert;Racot
PL-0200596;Linke;Robert;Koœcian
PL-0200597;Hohensee;Robert;Koœcian
PL-0200598;Olejnik;Robert;Nowy Lubosz
PL-0200599;Wojtysiak-Opas;Robert;Czempiñ
PL-0200600;Lutomska;Robert;Racot
PL-0200601;Pa³amarz;Robert;Poznañ
PL-0200602;Starosta;Robert;Koœcian
PL-0200603;Jurczyszyn;Robert;Poznañ
PL-0200604;Paszkowski;Robert;Poznañ
PL-0200605;Skibiñski;Robert;Wrzeœnia
PL-0200606;Przybylska;Robert;Poznañ
PL-0200607;Butrymowicz;Robert;Poznañ
PL-0200608;Ka³ek;Robert;Poznañ
PL-0200609;Kalota;Robert;Poznañ
PL-0200610;Juœ;Robert;Poznañ
PL-0200611;Krzemiñska;Robert;Pi³a
PL-0200612;Funk;Robert;Pi³a
PL-0200613;Broniarek;Robert;Pi³a
PL-0200614;Rak;Robert;Ujœcie
PL-0200615;Szyszko;Robert;Pi³a
PL-0200616;Rak;Robert;Ujœcie
PL-0200617;Domagalski;Robert;Pi³a
PL-0200618;Muszczek;Robert;Krajenka
PL-0200619;Witkowski;Robert;Krajenka
PL-0200620;Ko³da;Robert;Z³otów
PL-0200621;Dzik;Robert;Z³otów
PL-0200622;KaŸmierski;Robert;Krajenka
PL-0200623;Miler;Robert;Z³otów
PL-0200624;Stankiewicz;Robert;Z³otów
PL-0200625;Jagodziñska;Robert;Z³otów
PL-0200626;Dominiak;Robert;Cz³opa
PL-0200627;Zarêba;Robert;Krajenka
PL-0200628;Bugajski;Robert;Raszków
PL-0200629;Szuñ;Robert;Miêdzyrzecz
PL-0200630;Kaczmarek;Robert;Czerwonak
PL-0200631;Wojciechowska;Robert;M³ynkowo
PL-0200632;Chmiel;Robert;Œrem
PL-0200633;Darmosz;Robert;Turek
PL-0200634;Dudziak;Robert;Bojanowo
PL-0200635;Dudziak;Robert;Bojanowo
PL-0200636;Drzewiecka;Robert;Leszno
PL-0200637;£ukowiak;Robert;Bojanowo
PL-0200638;Cykman;Robert;Leszno
PL-0200639;Mucha;Robert;Gostyñ
PL-0200640;Kozyra;Robert;Gostyñ
PL-0200641;Henzel;Robert;Gostyñ
PL-0200642;Guciñski;Robert;Leszno
PL-0200643;Miêkwicz;Robert;Leszno
PL-0200644;Banaszak;Robert;Leszno
PL-0200645;Dorofiejczyk;Robert;Pi³a
PL-0200646;Tomaszewski;Robert;Pi³a
PL-0200647;Konitzer;Robert;Z³otów
PL-0200648;Puzdrowski;Robert;Lipka
PL-0200649;Brodowski;Robert;Pi³a
PL-0200650;Anio³;Robert;Poznañ
PL-0200651;Barañczyk;Robert;Baranowo
PL-0200652;Œliwiñska-Barañczuk;Robert;Baranowo
PL-0200653;Ferenc;Robert;Poznañ
PL-0200654;Hyla;Robert;Ostrów Wlkp.
PL-0200655;Hyla;Rita;Ostrów Wlkp.
PL-0200656;Kutiumov;Renata Monika;Poznañ
PL-0200657;Kutiumov;Renata Halina;Poznañ
PL-0200658;£oœ;Renata Gra¿yna;Poznañ
PL-0200659;£ukaszewska;Renata Beata;Poznañ
PL-0200660;Nawrocik;Renata Anna;Poznañ
PL-0200661;Nele;Renata Anna;¯agañ
PL-0200662;Nowak;Renata;Poznañ
PL-0200663;Nowakowski;Renata;Poznañ
PL-0200664;Szych;Renata;Poznañ
PL-0200665;Szymañska;Renata;Poznañ
PL-0200666;Œwietlicka;Renata;Œwieradów Zdrój
PL-0200667;Tomczak;Renata;Poznañ
PL-0200668;Zaleski;Renata;Poznañ
PL-0200669;¯ukiewicz;Renata;Poznañ
PL-0200670;Bojanowska;Renata;W¹growiec
PL-0200671;Popio³kiewicz;Renata;Murowana Goœlina
PL-0200672;Klonowska;Renata;Poznañ
PL-0200673;Barska;Renata;Po³czyn Zdrój
PL-0200674;B³aszczyk;Renata;Szczecinek
PL-0200675;Briks;Renata;Poznañ
PL-0200676;Czechowski;Renata;Poznañ
PL-0200677;Grossek;Renata;Poznañ
PL-0200678;Hirowski;Renata;Czempiñ
PL-0200679;Kozierañska;Renata;Bydgoszcz
PL-0200680;Michalak;Renata;Poznañ
PL-0200681;Owsianowska;Renata;Poznañ
PL-0200682;Straszewska;Renata;Poznañ
PL-0200683;Straszewski;Renata;Poznañ
PL-0200684;Szczepañczyk;Renata;Nowy targ
PL-0200685;Wawrzyniak;Renata;Poznañ
PL-0200686;Wittchen;Renata;£owyñ
PL-0200687;Morozowska;Renata;Poznañ
PL-0200688;Bielecki;Renata;Wroc³aw
PL-0200689;Tyliñski;Renata;Krosinko
PL-0200690;Gnarowska;Renata;Poznañ
PL-0200691;Micha³owska;Renata;Poznañ
PL-0200700;Ciesielski;Renata;Poznañ
PL-0200701;Ciesielski;Renata;Poznañ
PL-0200702;W³och;Renata;Poznañ
PL-0200703;Roj;Renata;Poznañ
PL-0200704;Pêciak;Renata;Poznañ
PL-0200705;Karaœkiewicz;Renata;Poznañ
PL-0200706;D³ugosz;Renata;Poznañ
PL-0200707;Janeba;Renata;Tylewice
PL-0200708;Andrzejewska;Renata;Poznañ
PL-0200709;Wachowiak;Renata;Poznañ
PL-0200710;Biernat;Renata;Poznañ
PL-0200711;Kajdasz;Renata;Œroda Wlkp.
PL-0200712;Kajdan;Renata;Poznañ
PL-0200713;Kieslich;Renata;Poznañ
PL-0200714;Konstañczak;Renata;Poznañ
PL-0200715;Langner;Renata;Poznañ
PL-0200716;Melewski;Renata;Poznañ
PL-0200717;Tomczyk;Renata;Poznañ
PL-0200718;Wolna;Renata;Swarzêdz
PL-0200719;Skrzydlewska;Renata;Poznañ
PL-0200720;Lewandowska;Renata;Poznañ
PL-0200721;Kucharska;Renata;Kutno
PL-0200722;Jahns;Renata;Poznañ
PL-0200723;Guza-W³och;Renata;Poznañ
PL-0200724;Brusi³o;Renata;Luboñ
PL-0200725;Ciesielska;Renata;Poznañ
PL-0200726;Kasprzyk;Renata;Poznañ
PL-0200727;Markowicz;Renata;Poznañ
PL-0200728;Stachowska;Renata;Poznañ
PL-0200729;WoŸnica;Renata;Poznañ
PL-0200730;Adamczyk;Renata;Poznañ
PL-0200731;Balcerek;Renata;Poznañ
PL-0200732;Balbierz;Renata;Poznañ
PL-0200733;Drza¿d¿yñska;Renata;Poznañ
PL-0200734;Fr¹ckowiak;Renata;Chyby
PL-0200735;Hauptmann;Renata;Poznañ
PL-0200736;Skoniecka;Renata;Gi¿ycko
PL-0200737;Skrzypczak;Renata;Poznañ
PL-0200738;Œwiercz;Renata;Poznañ
PL-0200739;Zaborowicz;Renata;Koszalin
PL-0200740;Ciesielski;Renata;Poznañ
PL-0200741;Zarêbska;Renata;Poznañ
PL-0200742;Wyrwas;Renata;Poznañ
PL-0200743;Troszczyñska;Renata;Poznañ
PL-0200744;Urbañska;Renata;Biedrusko
PL-0200745;Kaliszan;Renata;Poznañ
PL-0200746;B¹czek;Renata;Poznañ
PL-0200747;Arczyñski;Renata;Szczecin
PL-0200748;Kisia³a;Renata;Skoczów
PL-0200749;Brudnowski;Renata;Warszawa
PL-0200750;Malec;Renata;Poznañ
PL-0200751;Kulesza;Renata;D³ugosiod³o
PL-0200752;Nater;Renata;Poznañ
PL-0200753;Wróbel;Renata;Goleniów
PL-0200754;Idczak;Renata;Poznañ
PL-0200755;Zelich;Renata;Poznañ
PL-0200756;Rychlicka;Renata;Lublin
PL-0200760;Gibasiewicz;Renata;Ostrów Wlkp.
PL-0200761;Grzesiek;Renata;Grabów n/Prosn¹
PL-0200762;Janas;Renata;Ostrów Wlkp.
PL-0200763;Libudzic;Renata;Ostrów Wlkp.
PL-0200764;Bis;Renata;Ostrów Wlkp.
PL-0200765;Nowak;Renata;Ostrów Wlkp.
PL-0200766;Psztyr;Renata;Ostrów Wlkp.
PL-0200767;Rataj;Renata;Ostrów Wlkp.
PL-0200768;Walczyñski;Renata;Kalisz
PL-0200769;Fr¹ckowiak;Renata;Leszno
PL-0200770;Skrzypczak;Renata;Leszno
PL-0200771;Pietrowiak;Renata;Ostrów Wlkp.
PL-0200772;Wojda;Renata;Ostrów Wlkp.
PL-0200773;Kiecka;Renata;Ostrów Wlkp.
PL-0200774;Dyba;Renata;Ostrów Wlkp.
PL-0200775;Dehmani;Renata;Nowe Kamienice
PL-0200776;Ogórek;Renata;Walentynów
PL-0200777;Nowicki;Renata;Ostrów Wlkp.
PL-0200778;Zaj¹c;Renata;Ostrów Wlkp.
PL-0200779;Rêkosiewicz;Renata;Ostrów Wlkp.
PL-0200780;Herbeæ;Renata;Ostrów Wlkp.
PL-0200781;Wodzicka;Renata;Ostrów Wlkp.
PL-0200782;Bluz;Renata;Ostrów Wlkp.
PL-0200783;Biernaczyk;Renata;Ostrów Wlkp.
PL-0200784;Æwiklak;Renata;Ostrów Wlkp.
PL-0200785;Szewczyk;Renata;Ostrów Wlkp.
PL-0200786;Byzia;Renata;Ostrów Wlkp.
PL-0200787;Ko³odziej;Renata;Ostrów Wlkp.
PL-0200788;Kapo³a;Renata;Ostrów Wlkp.
PL-0200789;Œwi¹tek;Renata;Ostrów Wlkp.
PL-0200790;Musia³;Renata;Ostrów Wlkp.
PL-0200791;Ziobro;Renata;Ostrów Wlkp.
PL-0200792;Ibron;Renata;Ostrów Wlkp.
PL-0200793;B³aszczyk;Renata;Ostrów Wlkp.
PL-0200794;Grzelak;Renata;Ostrów Wlkp.
PL-0200795;Bis;Renata;Ostrów Wlkp.
PL-0200796;Michalak;Renata;Ostrów Wlkp.
PL-0200797;Taciak;Renata;Ostrów Wlkp.
PL-0200798;Kotwicka;Renata;Ostrów Wlkp.
PL-0200799;Bakalarek;Renata;Ostrów Wlkp.
PL-0200800;Matula;Renata;Ostrów Wlkp.
PL-0200801;Bryñski;Renata;Ostrów Wlkp.
PL-0200802;Baranowski;Renata;Ostrów Wlkp.
PL-0200803;Szempiñska;Renata;Ostrów Wlkp.
PL-0200804;Kalina;Renata;Ostrów Wlkp.
PL-0200805;Piasecka;Renata;Ostrów Wlkp.
PL-0200806;Moch;Renata;Ostrów Wlkp.
PL-0200807;Æwiek;Renata;Ostrów Wlkp.
PL-0200808;Sekura;Renata;Ostrów Wlkp.
PL-0200809;Czerwiñska;Remigiusz;Ostrów Wlkp.
PL-0200810;Twardowska;Remigiusz;Ostrów Wlkp.
PL-0200811;Barañski;Remigiusz;Ostrów Wlkp.
PL-0200812;Zimny;Remigiusz;Ostrów Wlkp.
PL-0200813;Herbeæ;Remigiusz;Ostrów Wlkp.
PL-0200814;Kwiatkowska;Remigiusz;Ostrów Wlkp.
PL-0200815;Bart³omiejczyk;Remigiusz;Poznañ
PL-0200816;Sobolewska;Remigiusz;Poznañ
PL-0200817;Bieñ;Remigiusz;Poznañ
PL-0200818;Chorzêpa;Remigiusz;Poznañ
PL-0200819;Makowska;Remigiusz;Poznañ
PL-0200820;Krzywiak;Remigiusz;Kozieg³owy
PL-0200821;Michalski;Remigiusz;Poznañ
PL-0200822;Brzozowski;Remigiusz;Poznañ
PL-0200823;Korneluk;Regina Maria;Wschowa
PL-0200824;Komorowicz;Regina;Wrzeœnia
PL-0200825;Koz³owska;Regina;Kwidzyn
PL-0200826;Musia³;Regina;Poznañ
PL-0200827;Ratajczak;Regina;Poznañ
PL-0200828;Matlak;Regina;Poznañ
PL-0200829;Jagodziñska;Regina;Turek
PL-0200830;Dolata;Ramona;Szamotu³y
PL-0200831;Rybacki;Rami;Turek
PL-0200832;Popielski;Rafa³ Zygmunt;KaŸmierz
PL-0200833;Kulpiñska;Rafa³ Waldemar;Ponañ
PL-0200834;Krowicka;Rafa³ Stanis³aw;Poznañ
PL-0200835;Klessa;Rafa³ Pawe³;Poznañ
PL-0200836;Wismer;Rafa³ Pawe³;Nekla
PL-0200837;Kahla;Rafa³ Micha³;Poznañ
PL-0200838;Paliñski;Rafa³ Marcin;Poznañ
PL-0200839;Pieprz;Rafa³ Krzysztof;Poznañ
PL-0200840;JóŸwiakowska;Rafa³ Józef;Damas³awek
PL-0200841;Czarnecki;Rafa³ Adam;Poznañ
PL-0200842;Stachowicz;Rafa³ Adam;Poznañ
PL-0200843;Mroziñska;Rafa³;Poznañ
PL-0200844;Py¿alski;Rafa³;Poznañ
PL-0200845;Bomska;Rafa³;Luboñ
PL-0200846;Schulz;Rafa³;Popówko
PL-0200847;Bronikowska;Rafa³;Poznañ
PL-0200865;Stankiewicz;Rafa³;Ostrów Wlkp.
PL-0200866;Lewandowski;Rafa³;Kotlin
PL-0200867;Kuliñski;Rafa³;Ostrów Wlkp.
PL-0200868;Œwita³a;Rafa³;Wysocko Wlk.
PL-0200869;Szymczak;Rafa³;Wtórek
PL-0200870;Radziszewska;Rafa³;Ostrów Wlkp.
PL-0200871;Stodolny;Rafa³;Ostrów Wlkp.
PL-0200872;Dawidowicz;Rafa³;Ostrów Wlkp.
PL-0200873;Malchrzycki;Rafa³;Ostrów Wlkp.
PL-0200874;Napiera³a;Rafa³;Ostrów Wlkp.
PL-0200875;Szyszka;Rafa³;Ostrów Wlkp.
PL-0200876;Mroczek;Rafa³;Ostrów Wlkp.
PL-0200877;Tarchalski;Rafa³;Ostrów Wlkp.
PL-0200878;Jastrowicz;Rafa³;Ostrów Wlkp.
PL-0200879;Koœcielski;Rafa³;Ostrów Wlkp.
PL-0200880;Lechowicz;Rafa³;Ostrów Wlkp.
PL-0200881;Jurkiewicz;Rafa³;Ostrów Wlkp.
PL-0200882;Malicki;Rafa³;Osiek Ma³y
PL-0200883;Stasiak;Rafa³;Osiek Ma³y
PL-0200884;Burkietowicz;Rafa³;Poznañ
PL-0200885;Bia³kowska;Rafa³;Nowy Tomyœl
PL-0200886;PrzewoŸna;Rafa³;Opalenica
PL-0200887;Stachecka;Rafa³;Nowy Tomyœl
PL-0200888;Pawelska;Rafa³;Boruja Koœcielna
PL-0200889;Kaszkowiak;Rafa³;Nowy Tomyœl
PL-0200890;Kaczmarek;Rafa³;Nowy Tomyœl
PL-0200891;Bar³óg;Rafa³;Nowy Tomyœl
PL-0200892;Olsztyñski;Rafa³;Nowy Tomyœl
PL-0200893;Doliwa;Rafa³;Nowy Tomyœl
PL-0200894;B³a¿ejczyk;Rafa³;Nowy Tomyœl
PL-0200895;Zimny;Rafa³;Nowy Tomyœl
PL-0200896;Nowicki;Rafa³;Nowy Tomyœl
PL-0200897;Zalewska;Rafa³;Nowy Tomyœl
PL-0200898;Pazderska;Rafa³;Nowy Tomyœl
PL-0200899;Kaczmarek;Rafa³;Nowy Tomyœl
PL-0200900;Dudek;Rafa³;Czêstochowa
PL-0200920;Jankiewicz;Rafa³;Mi³os³aw
PL-0200921;Solarz;Rafa³;Ostrów Wlkp.
PL-0200922;Raczak;Rafa³;Ostrów Wlkp.
PL-0200923;Krawczyñski;Rafa³;Ostrów Wlkp.
PL-0200924;Nowicki;Rafa³;Ostrów Wlkp.
PL-0200925;Tasarek;Rafa³;Ostrów Wlkp.
PL-0200926;Szafa³owicz;Rafa³;Ostrów Wlkp.
PL-0200927;Kolarski;Rafa³;Ostrów Wlkp.
PL-0200928;¯ardecki;Rafa³;Strzelce
PL-0200929;Ryngwelski;Rafa³;Gorzów Wlkp.
PL-0200930;S³awiñski;Rafa³;Baczyna
PL-0200931;Tycz;Rafa³;Gorzów Wlkp.
PL-0200932;Cybula;Rafa³;Gorzów Wlkp.
PL-0200933;Sobkowiak;Rafa³;Gorzów Wlkp.
PL-0200934;Œliwiñski;Rafa³;Konin
PL-0200935;Zieliñski;Rafa³;Ostrów Wlkp.
PL-0200936;Nowak;Rafa³;Psary
PL-0200937;Szymczak;Rafa³;Ostrów Wlkp.
PL-0200938;Ziemianin;Rafa³;Gorzów Wlkp.
PL-0200939;Panocki;Rafa³;Gorzów Wlkp.
PL-0200940;Fleischer;Rafa³;Ostrów Wlkp.
PL-0200941;Wojda;Rafa³;Ostrów Wlkp.
PL-0200942;Podhajski;Rafa³;Ostrów Wlkp.
PL-0200943;Styk;Rafa³;Krzy¿ Wlkp.
PL-0200944;Bo³¹dŸ;Rafa³;Krzy¿ Wlkp.
PL-0200945;Bo³¹dŸ;Rafa³;Krzy¿ Wlkp.
PL-0200946;Szekelyne;Rafa³;Che³st
PL-0200947;Doga;Rafa³;Œroda Wlkp.
PL-0200948;Dutkowiak;Rafa³;Poznañ
PL-0200949;Kubicka;Rafa³;Poznañ
PL-0200950;Przyhorska;Rafa³;Poznañ
PL-0200951;Waliszewska;Rafa³;Ko³obrzeg
PL-0200952;Kuratczyk;Rafa³;Œrem
PL-0200953;Szpakowski;Rafa³;Poznañ
PL-0200954;Fertsch;Rafa³;Oborniki Wlkp.
PL-0200955;Jesio³owska;Rafa³;Ko³obrzeg
PL-0200956;Juraszek;Rafa³;S³ubice
PL-0200957;Pokrywka;Rafa³;Poznañ
PL-0200958;Zdulska;Rafa³;Poznañ
PL-0200959;Nieczaj;Rafa³;Wa³cz
PL-0200960;Grabowicz;Rafa³;Pi³a
PL-0200961;Jeziorowski;Rafa³;Pi³a
PL-0200962;Wa³kowska;Rafa³;Chodzie¿
PL-0200963;Brzeziñski;Rafa³;Go³añcz
PL-0200964;Ornawka;Rafa³;Szamocin
PL-0200965;Wyrwa;Rafa³;Chodzie¿
PL-0200966;Marynowski;Rafa³;Go³añcz
PL-0200967;Tamborski;Rafa³;Chodzie¿
PL-0200968;Sosnowska;Rafa³;Murowana Goœlina
PL-0200969;Szczepañska;Rafa³;Murowana Goœlina
PL-0200970;Kasztelan;Rafa³;Murowana Goœlina
PL-0200971;Pilarczyk;Rafa³;Murowana Goœlina
PL-0200972;Góralczyk;Rafa³;Sochaczew
PL-0200973;Szafer;Rafa³;Poznañ
PL-0200974;D¹bek;Rafa³;Poznañ
PL-0200975;Frañczak;Rafa³;Gorzów Wlkp.
PL-0200976;Niemyt;Rafa³;Gorzów Wlkp.
PL-0200977;Lacroix;Rafa³;Gorzów Wlkp.
PL-0200978;Paw³owski;Rafa³;Ostrów Wlkp.
PL-0200979;Krakowski;Rafa³;Ostrów Wlkp.
PL-0200980;Feiga;Rafa³;Kobyla Góra
PL-0200981;Wojtasik;Rafa³;Ostrzeszów
PL-0200982;Szczygie³;Rafa³;Ostrzeszów
PL-0200983;Rubik;Rafa³;Ostrzeszów
PL-0200984;Chwalisz;Rafa³;Ostrzeszów
PL-0200985;Koszarny;Rafa³;Ostrzeszów
PL-0200986;Jakubczyk;Rafa³;Ostrzeszów
PL-0200987;Wieczorek;Rafa³;Ostrzeszów
PL-0200988;Wierzbiñski;Rafa³;Miêdzybórz
PL-0200989;Dulêba;Rafa³;Grabów
PL-0200990;Wierzbiñska;Rafa³;Miêdzybórz
PL-0200991;Raczyñski;Rafa³;Ostrzeszów
PL-0200992;Kêdzia;Rafa³;Ostrzeszów
PL-0200993;Œlak;Rafa³;Kobyla Góra
PL-0200994;Kaczmarek;Rafa³;Poznañ
PL-0200995;Wójcik;Rafa³;Kozieg³owy
PL-0200996;Szatkowska;Rafa³;Poznañ
PL-0200997;Priebe;Rafa³;Berlin
PL-0200998;Grudziñska;Rafa³;Poznañ
PL-0200999;Kicka;Rafa³;Miêdzychód
PL-0201000;Ficner;Rafa³;Wieleñ
PL-0201001;GuŸdzio³;Rafa³;Ostrów Wlkp.
PL-0201002;Bilan;Rafa³;Ostrów Wlkp.
PL-0201003;Siciñski;Rafa³;Ostrów Wlkp.
PL-0201004;Polañska;Rafa³;Ostrów Wlkp.
PL-0201005;Jêdrzejewska;Rafa³;Ostrów Wlkp.
PL-0201006;Sieradzki;Rafa³;Ostrów Wlkp.
PL-0201007;Kêdzierski;Rafa³;Ostrów Wlkp.
PL-0201008;Wall;Rafa³;£osoœnica
PL-0201009;Krzeminiewska;Rafa³;Suchy Las
PL-0201010;Zalisz;Rafa³;Poznañ
PL-0201011;Ida;Rafa³;Pi³a
PL-0201012;Pytlik;Rafa³;Ostrów Wlkp.
PL-0201013;Wnuk;Rafa³;Ostrów Wlkp.
PL-0201014;Skiera;Rafa³;Ostrów Wlkp.
PL-0201015;Waliszewska;Rafa³;Ostrów Wlkp.
PL-0201016;B³aszczyk;Rafa³;Ostrów Wlkp.
PL-0201017;Podhajski;Rafa³;Ostrów Wlkp.
PL-0201018;Andrzejczak;Rafa³;Poznañ
PL-0201019;Rudniak;Rafa³;Poznañ
PL-0201020;Gêbala;Rafa³;Poznañ
PL-0201021;Górnikiewicz;Rafa³;S³upsk
PL-0201022;S³ociñska;Rafa³;Oborniki
PL-0201023;Aleksandrowicz;Rafa³;Poznañ
PL-0201024;Padurek;Rafa³;Krzywiñ
PL-0201025;Hohensee;Rafa³;Koœcian
PL-0201026;Marszewski;Rafa³;Racot
PL-0201027;Opas;Rafa³;Czempiñ
PL-0201028;Koronowski;Rafa³;Racot
PL-0201029;Kaczmarek;Rafa³;Racot
PL-0201030;Kaczmarczyk;Rafa³;Poznañ
PL-0201031;Rupiñska;Rafa³;Brodnica
PL-0201032;G³oœniak;Rafa³;Gorzów Wlkp.
PL-0201033;Andrzejewska;Rafa³;Bledzew
PL-0201034;Grochowska;Rafa³;Pi³a
PL-0201035;Radtke;Rafa³;Pi³a
PL-0201036;Barañczyk;Rafa³;Wysoka
PL-0201037;Nesterchuk;Rafa³;Pi³a
PL-0201038;Ki¹ca;Rafa³;Krzycko Ma³e
PL-0201039;Ratajczak;Rafa³;Krzycko Ma³e
PL-0201040;Czerniak;Rafa³;Krzycko Ma³e
PL-0201041;Roubo;Rafa³;Krzycko Ma³e
PL-0201042;Bartkowiak;Rafa³;Krzycko Ma³e
PL-0201043;Powa³owski;Rafa³;Krzycko Ma³e
PL-0201044;Turkowiak;Rafa³;Krzycko Ma³e
PL-0201045;Nowak;Rafa³;Krzycko Ma³e
PL-0201046;Maækowiak;Rafa³;Krzycko Ma³e
PL-0201047;G¹d;Rafa³;Krzycko Ma³e
PL-0201048;Michalski;Rafa³;Krzycko Ma³e
PL-0201049;Wawrzyniak;Rafa³;Krzycko Ma³e
PL-0201050;Tyra³a;Rafa³;Krzycko Ma³e
PL-0201051;Adamska;Rafa³;Koœcian
PL-0201052;Gasztecki;Rafa³;Koœcian
PL-0201053;Maækowski;Rafa³;Koœcian
PL-0201054;Dominiak;Rafa³;Koœcian
PL-0201055;Jagodziñski;Rafa³;Koœcian
PL-0201056;Piechocka;Rafa³;Czempiñ
PL-0201057;Wysocka;Rafa³;Koœcian
PL-0201058;Lajszner;Rafa³;Koœcian
PL-0201059;Brodala;Rafa³;Ostrów Wlkp.
PL-0201060;Mazur;Rafa³;Gniezno
PL-0201061;Meinert;Rafa³;Oborniki Wlkp.
PL-0201062;Ziemba;Rafa³;Poznañ
PL-0201063;Klorek;Rafa³;Racot
PL-0201064;Dorynek;Rafa³;Koœcian
PL-0201065;Urbanowicz;Rafa³;Koœcian
PL-0201066;Urbanowicz;Rafa³;Koœcian
PL-0201067;Kalemba;Rafa³;Koœcian
PL-0201068;Andrzejewska;Rafa³;Koœcian
PL-0201069;Kaliszewska;Rafa³;Koœcian
PL-0201070;Jazy;Rafa³;Koœcian
PL-0201071;Hertmanowska;Rafa³;Koœcian
PL-0201072;J¹der;Rafa³;Koœcian
PL-0201073;Pawlak;Rafa³;Koœcian
PL-0201074;Iwaszkiewicz;Rafa³;Poznañ
PL-0201075;Krzemiñski;Rafa³;Wyrzysk
PL-0201076;Bodzyñski;Rafa³;M¹koszyce
PL-0201077;Werwiñska;Rafa³;Bojanowo
PL-0201078;Smakulski;Rafa³;Bojanowo
PL-0201079;Koñczak;Rafa³;Bojanowo
PL-0201080;Gliniany;Rafa³;Bojanowo
PL-0201081;Jagodziñski;Rafa³;Leszno
PL-0201082;Sumowski;Rafa³;Poznañ
PL-0201083;Mierkiewicz;Rafa³;Poznañ
PL-0201084;Fr¹ckowiak;Rafa³;Poznañ
PL-0201085;Antkowiak;Rafa³;Krobia
PL-0201086;Pluciñska;Rafa³;Œwinoujœcie
PL-0201087;Dobosz;Rafa³;Ostrów Wlkp.
PL-0201088;Wachowiak;Rafa³;Ostrów Wlkp.
PL-0201089;Lizakowski;Rafa³;Ostrów Wlkp.
PL-0201090;Portasiak;Rafa³;Ostrów Wlkp.
PL-0201091;Grzêda;Rafa³;Ostrów Wlkp.
PL-0201092;Sikorska;Rafa³;Ostrów Wlkp.
PL-0201093;Zaj¹c;Rafa³;Ostrów Wlkp.
PL-0201094;Kamiñski;Rafa³;Ostrów Wlkp.
PL-0201095;Maciejewski;Rafa³;Ostrów Wlkp.
PL-0201096;Cicharska;Rafa³;Ostrów Wlkp.
PL-0201097;Staniewska;Rafa³;Ostrów Wlkp.
PL-0201098;Szymczak;Rafaello;Ostrów Wlkp.
PL-0201099;Konasiewicz;Rados³aw £ukasz;Ostrów Wlkp.
PL-0201100;Olszañski;Rados³aw;Ostrów Wlkp.
PL-0201141;Domaga³a;Rados³aw;Ostrów Wlkp.
PL-0201142;Idziaszek;Rados³aw;Ostrów Wlkp.
PL-0201143;Urbaniak;Rados³aw;Ostrów Wlkp.
PL-0201144;Piotrowski;Rados³aw;Ostrów Wlkp.
PL-0201145;Zyœk;Rados³aw;Wtórek
PL-0201146;Stasik;Rados³aw;Ostrów Wlkp.
PL-0201147;Wawrzyniak;Rados³aw;Ostrów Wlkp.
PL-0201148;Krakowska;Rados³aw;Ostrów Wlkp.
PL-0201149;Ora;Rados³aw;Ostrów Wlkp.
PL-0201150;Szukalski;Rados³aw;Ostrów Wlkp.
PL-0201151;Pozorski;Rados³aw;Ostrów Wlkp.
PL-0201152;Zagórska;Rados³aw;Ostrów Wlkp.
PL-0201153;Rutkowska;Rados³aw;Pi³a
PL-0201154;Kazana;Rados³aw;Ujœcie
PL-0201155;Drescher;Rados³aw;Kostrzyn Wlkp.
PL-0201156;Nowakowska;Rados³aw;W³oc³awek
PL-0201157;Kartuszyñski;Rados³aw;Krajenka
PL-0201158;Jiers;Rados³aw;Krajenka
PL-0201159;Rolbiecki;Rados³aw;Miasteczko Krajeñskie
PL-0201160;Mania;Rados³aw;Pi³a
PL-0201161;Rudnicki;Rados³aw;Debrzno
PL-0201162;Stadnik;Rados³aw;Pi³a
PL-0201163;Stanisz-Pudliszewska;Rados³aw;Luboñ
